texto,texto_traduzido
"Butecão com comida boa. Entrega o que promete, pouca assepsia nas mesas e no chão e muito sabor. Tradição.","Butecão with good food. Deliver what it promises, little asepsis on the tables and the floor and a lot of flavor. Tradition."
"O melhor frango assado , feijão tropeiro da cidade !","The best roasted chicken, tropeiro beans of the city!"
"Melhor frango assado da região! Custa 45 reais em 2023. E a marmita é bem servida e se comprar batatas assadas(15 reais a mais!) então fica uma maravilha. Tem costela no bafo tbm e pesada no kilo. Eles vendem meio frango, mas duvido que vc vai comer so meio (25 reais em 2023). Sugiro pegar uma farofa a mais que custa 2 reais pois ela tbm e muito boa!","Best roasted chicken in the region! It costs 45 reais in 2023. And the lunchbox is well served and if you buy baked potatoes (15 reais more!) Then it gets a wonder. It has ribs in the breath too and heavy in the kilo. They sell half chicken, but I doubt you will eat only half (25 reais in 2023). I suggest taking one more crumbs that costs 2 reais because it is also very good!"
"Ambiente muito tranquilo, divertido e caloroso. Comida deliciosa e preço justo.","Very quiet, fun and warm atmosphere. Delicious food and fair price."
"Melhor frango assado de Goiânia, cerveja e petiscos deliciosos. Minha família é cliente desde 1987.","Best roasted chicken from Goiânia, beer and delicious snacks. My family has been a client since 1987."
EXELENTE LUGAR  DE ALIMENTACAO.COMIDA DE QUALIDADE  E BARATA.OTIMO ATENDIMENTO,Excellent place of food. Quality and cheap.
O melhor frango assado da região!,The best roasted chicken in the region!
Ambiente agradável e boa comida!,Nice atmosphere and good food!
Uma pena um bar tão tradicional ter um atendimento péssimo,A pity such a traditional bar have a poor service
"Comida muito boa, a melhor da região!","Very good food, the best in the region!"
Bom ambiente e cerveja gelada 🍻,Good atmosphere and cold beer 🍻
Melhor frango de goiania muito bom,Best Goiania Chicken Very good
Atendimento nota 100,NOTE 100 SERVICE
Bom recomendo!,Good recommend!
Amo esse Bar tradição do Novo horizonte,I love this bar tradition of the new horizon
Ótimo lugar para almoçar,Great place for lunch
Ótima lanchonete,Great cafeteria
Comida deliciosa e uma cerveja geladaaa,Delicious food and a cold beer
O melhor frango de Goiânia,The best chicken in Goiânia
Excelente,Great
Comida gostosa.,Good food.
Comida Ótima,Great food
A melhor boate da região.super indico,The best nightclub in the region.super Indico
Super indico em qualquer ocasião,Super indicate on any occasion
Show d++  para bater aquele Volleyboll pra quem gosta.,Show D ++ to beat that volleyboll for those who like it.
"Lugar top pra conversar bater um papo se distrair,  promoção da sparten toma 03 ganha 01  espertinho 100% gostoso a comida.","Top place to talk to chat if you distract yourself, Sparten promotion takes 03 wins 01 smart 100% tasty the food."
"Porções generosas, bem saboroso. Demora um pouco e nem estava cheio, mas devem ter delivery.","Generous portions, very tasty. It takes a while and it wasn't even full, but they must have delivery."
"Ótimo atendimento, cerveja geladissíma, petiscos maravilhosos com um preço muito bom. Ambiente familiar","Great service, gemadi -beer, wonderful snacks with a very good price. Family environment"
"Viciei na comida de boteco  que estão servindo lá :) , cerveja gelada, tudo de bom, parabéns!","I added in the bar food that are serving there :), cold beer, all the best, congratulations!"
"A jantinha é boa , mas me deu um desinteria muito forte ... Tive intoxicação alimentar , nunca mais volto .","Jantinha is good, but it gave me a very strong disinteria ... I had food poisoning, I never come back."
"Cerveja gelada, comida boa e atendimento bom, recomendo !","Cold beer, good food and good service, I recommend!"
Lugar incrível e ótima comida,Amazing place and great food
Top d+ssss,TOP D+SSSS
"maravilhosas a mãe e a filha.mdsss e linda demais amo ela,Shirley ❤️❤️","wonderful mother and daughter.mdsss and so beautiful I love her, shirley ❤️❤️"
"Comida fria , não gostei do local","Cold food, I didn't like the place"
"Já fiz várias festas com o sunset! Sempre muito profissionais, drinks maravilhosos, sempre trazendo várias novidades, com muita variedade no cardápio e bebida de qualidade. Recomendo muito!","I've had several parties with Sunset! Always very professional, wonderful drinks, always bringing various news, with a lot of variety on the menu and quality drink. I recommend it a lot!"
"Pior coisa é ser vizinho desse lugar, não respeitam os limites de  horários, o volume permitido. E não adianta reclamar. Não e um lugar pra ser frequentado por uma família.","Worst thing is to be neighboring this place, they do not respect the limits of schedules, the volume allowed. And it's no use complaining. It is not a place to be frequented by a family."
Bom ambiente,Good environment
"Melhor bar de esportes de Goiânia! Ambiente temático, chopp de qualidade, burgers muito saborosos! Atendimento top tbm!","Best sports bar in Goiânia! Thematic environment, quality beer, very tasty burgers! Top service also!"
Ótimo lugar para assistir os mais variados esportes! Várias Tv's.,Great place to watch the most varied sports! Several TV's.
"Um ambiente muito legal pra quem gosta de esportes, principalmente futebol, ótima comida em especial o molho de pimenta agridoce que me surpreendeu muito, o único detalhe é a demorar pra ser atendido, poucas garçonetes que acabam ficando sobrecarregadas e não conseguem atender de imediato.","A very cool environment for those who like sports, especially football, great food especially the bittersweet pepper sauce that surprised me a lot, the only detail is to be answered, few waitresses that end up getting overloaded and can't answer immediately."
"Bar é muito legal para assistir esportes de um modo geral e principalmente partidas de futebol. Parte da decoração lembra a geral dos antigos estádios brasileiros, também tem um ambiente climatizado.

A cerveja é bem Gelada e os tira gostos são bons.","Bar is very cool to watch sports in general and especially football matches. Part of the decoration resembles the general of the old Brazilian stadiums, also has an air -conditioned environment.

The beer is very cold and the tastes are good."
Lugar Excelente. Ambiente perfeito para assistir aos jogos. Boas opções no cardápio e cerveja gelada. Melhor ainda quando o Galo ganha.,Excellent place. Perfect atmosphere to watch the games. Good options on the menu and cold beer. Even better when the Rooster wins.
"Fomos assistir a final do super bowl, o ambiente muito legal, mas o atendimento foi muito ruim. Pedimos comida e 2hrs depois a atendente nos disse que nao iriam conseguir entregar, tivemos que sair no intervalo para poder comer em outro lugar e terminamos de ver o jogo em casa.","We went to watch the Super Bowl final, the very cool atmosphere, but the service was very bad. We ordered food and 2hrs then the attendant told us that they would not be able to deliver, we had to go out in the break so that we could eat elsewhere and finished seeing the game at home."
Um dos sanduiches mais gostosos que ja comi. Muito saboroso e no tamanho ideal! Não tem foto pq eu tracei tudo!,One of the most delicious sandwiches I've ever eaten. Very tasty and the ideal size! There is no photo because I drew everything!
"Ambiente excelente! Várias tvs para assistir os jogos, bebida gelada, comida muito boa com preço ótimo e ótimo atendimento!","Excellent environment! Several TVs to watch games, cold drink, very good food with great price and great service!"
"Bar incrível, bebidas e comidas de qualidade.

Bar feito para esportes, várias televisões para ver todos os jogos de futebol, basquete, vôlei...

Ambiente confortável e animado","Amazing bar, drinks and quality foods.

Bar made for sports, several televisions to watch all football, basketball, volleyball ...

Comfortable and excited atmosphere"
"Peçam o hamburguer do geral, serio. É bom demais","Ask the hamburger of the general, seriously. Is too good"
O melhor bar de esportes de Goiânia. Sem mais.,The best sports bar in Goiânia. No further.
Excelente atendimento e ambiente muitoooo top..,Excellent service and veryooo top.
Ótimo ambiente e atendimento!,Great atmosphere and service!
Lugar excelente...,Excellent place ...
Excelente,Great
Top demais,Too top
Not open Mondays.,Not Open Mondays.
"Melhor filé ao molho funghi! Atendimento maravilhoso, ambiente aconchegante e charmoso! Indico sempre!!","Best fillet in funghi sauce! Wonderful service, cozy and charming atmosphere! I always indicate !!"
"No dia dos namorados, após tomar um vinho que já constava no pacote, pedimos um espumante, contudo não tinha nem uma opção gelada e o garçom falou que demoraria em torno de 30 min pra refrigerar. Aí perguntamos se podia colocar um baldinho com gelo, pra já irmos consumindo, o garçom falou que tinha o baldinho mas não tinha gelo. O estabelecimento não estava preparado para o evento. Saímos de lá e fomos beber o espumante em casa.","On Valentine's Day, after having a wine that was already in the package, we ordered a sparkling wine, but it did not even have a cold option and the waiter said it would take around 30 min to cool. Then we asked if I could put a bucket with ice, so that we already consuming, the waiter said he had the bucket but there was no ice. The establishment was not prepared for the event. We left and went to drink the sparkling home."
"O sommelier  Caio é de uma prestabilidade e elegância admirável, a comida deliciosa, os melhores rótulos de vinho e há rodízio de vinhos as terças por 119,90 a cada 2 pessoas, ñ importa se casal ou não, sai 59,90 p cada ou nos demais dias a 89,90 por pessoa. Música de qualidade todas as quintas à noite! Asmei! 👏🏼","Sommelier Caio is of a prestability and admirable elegance, the delicious food, the best wine labels and the wine caster the Tuesdays by 119.90 every 2 people, it is not important whether or not, 59.90 p each or or not on other days at 89.90 per person. Quality music every Thursday at night! Asmem! 👏🏼"
"Uma experiência incrível, ótimo lugar, atendimento excelente 💕","An amazing experience, great place, excellent service 💕"
"Voltei para contar sobre minha segunda experiência na casas, não poderia ser diferente: 5 estrelas!

Em setembro visitei o restaurante com um grupo de mulheres e tivei uma experiência ruim. Alguns meses mais tarde, por coincidência da vida, meu marido conheceu o gerente do Badio em outro restaurante, que prontamente nós presenteou com um rodízio de vinho, para que eu pudesse mudar a impressão da minha primeira visita. (Atitude que ganhou muito meu respeito. Sinal de que realmente se importam que os clientes tenham uma boa experiência na casa).
Tivemos um excelente atendimento, os pratos são muito saborosos e bem elaborados. O rodízio de vinhos é maravilhoso e o lugar muito aconchegante. Sem falar no atendimento, que tornou essa segunda experiência ainda mais agradável.

Recomendo sem dúvidas a todos que buscam por uma noite agradável. Sem dúvidas, voltarei novamente.

Fiz questão de vir falar sobre essa segunda experiência, ainda mais depois de saber que eles lêem essas avaliações.
Desejo muito sucesso a vocês e que continuem buscando sempre a satisfação dos clientes!","I came back to tell about my second experience in houses, could not be different: 5 stars!

In September I visited the restaurant with a group of women and had a bad experience. A few months later, coincidentally, my husband met the Badio manager at another restaurant, which we readily presented with a wine carvery, so that I could change the impression of my first visit. (Attitude that has gained a lot of respect. Sign that they really mind that customers have a good experience in the house).
We had excellent service, the dishes are very tasty and well elaborated. The wine carvery is wonderful and the place very cozy. Not to mention the service, which made this second experience even more pleasant.

I undoubtedly recommend to everyone who seeks for a pleasant night. No doubt I will be back again.

I made a point of coming to talk about this second experience, especially after knowing that they read these evaluations.
I wish you a lot of success and always seek customer satisfaction!"
Excelente experiência. Música. Aromas. Higienização. Atendimento. Tudo perfeito. Super indico,Excellent experience. Music. Aromas. Sanitation. Service. Everything perfect. Super Indico
"Feijoada muito gostosa, farofa perfeita, vinagrete sem pimentão (perfeitooo), hahahahahhaha. Ambiente bem agradável. Bar raiz com sambinha rolando.","Very tasty feijoada, perfect crumbs, pepperless vinaigrette (perfect), hahahahahhaha. Very pleasant environment. Root bar with sambinha rolling."
"Otimo ambiente. Colaboradores excelentes, super educados. Comida sensacional, várias opções com pouco tempo de espera, cerveja geladissima","Great environment. Excellent, super educated collaborators. Sensational food, several options with little waiting time, gemissima beer"
"Lugar TOP!  Comida boa, cervejinha Geladaça e atendimento muito humano e alegre.","TOP PLACE! Good food, cold beer and very human and cheerful service."
"Lugar Aconchegante, comida boa, cerveja gelada, atendimento excelente.","Cozy place, good food, cold beer, excellent service."
"Comida fantástica e ambiente bacana, vale a pena conhecer","Fantastic food and cool environment, it is worth knowing"
"Excelente atendimento, ambiente aconchegante. Pratos e petiscos deliciosos","Excellent service, cozy atmosphere. Delicious dishes and snacks"
"Atendimento muito bom, jantinha maravilha.","Very good service, Maravilha Jantinha."
Feijoada nota 10!!!! Amamos!!,Feijoada Note 10 !!!! We love it !!
Super atenciosos com os clientes,Super attentive with customers
"Adoro estar neste local.  Cervejinha gelada, comidinha nota 1000. E os donos, Rômulo e Daiane são super agradáveis.","I love to be in this place. Iced beer, a 1000 -grade food. And the owners, Rômulo and Daiane are super pleasant."
"Edução é o essencial,e lá é o que mais tem
Comida boa,bebidas geladinhas❤️lugar aconchegante","Eduction is the essential, and there is the one that has the most
Good food, cold drinks❤️ warm short"
"Ótimo pra encontros com amigos! Bar e comida, porções, sanduíches, ótimo pra assistir aquele jogo com amigos!","Great for meetings with friends! Bar and food, portions, sandwiches, great to watch that game with friends!"
"Estabelecimento Maravilhoso, Ótima Comida e Cerveja gelada, Atendimento Excelente!!!👏🏻👏🏻👏🏻👏🏻👏🏻
Melhor Estabelecimento desse segmento da região leste🤩","Wonderful establishment, great food and cold beer, excellent service !!! 👏🏻👏🏻👏🏻👏🏻👏🏻
Better establishment of this segment of the east region"
Movimento e atendimento nota 10,MOVEMENT AND SERVICE NOTE 10
Top ótimo atendimento e preço assecivel,Top Great Service and Asset Price
Ótimo  atendimento  e ambiente  tranquilo,Great service and quiet environment
"Desconfortável. Pedimos uma muqueca que além de esta apimentada vieram apenas 4 pedaços de peixe do diâmetro  fundo de uma coca cola de 1 litro e bem finos. Além de estar bem apimentada. para mim que gosto de pimenta tá estava forte para minha esposa que é intolerante estava insuportavel
Agora o ponto forte foi as batata cozidas no molho que penso ter sido colocada para tirar um pouco do sal ou até mesmo da pimenta. Ou será uma nova modalidade de muqueca. Como Cozinheiro por profissão desconheço muqueca com batata inglesa. Faltou um pouco de zelo da cozinha até mesmo pelo tomate. Mas como disse o proprietário nossa muqueca é a melhor já saímos até na TV. Mas como eu sempre digo vão lá e experimente eu posso ter pegado a cozinha num dia ruim.","Uncomfortable. We ordered a muqueca that besides being a spicy came only 4 pieces of fish from the deep diameter of a 1 liter and very thin coke. Besides being well spicy. For me that I like pepper was strong for my wife who is intolerant was unbearable
Now the strong point was the potatoes cooked in the sauce I think was placed to get some salt or even pepper. Or it will be a new mode of muqueca. As a cook by profession I do not know muqueca with English potato. It missed a little zeal from the kitchen even through the tomatoes. But as the owner said our muqueca is the best we have ever left on TV. But as I always say go there and try I can have taken the kitchen on a bad day."
"Pedi um Tucunare e (veio só uma banda), pensei que era o peixe inteiro. a brinquedoteca que poderia ser descontração para crianças e os pais poderem aproveitar melhor, beberem mais veio cobrança de  5,00 por criança.
Decepcionei.","I ordered a Tucunare and (only one band came), I thought it was the whole fish. The playroom that could be relaxation for children and parents can enjoy better, drinking more came from 5.00 per child.
I disappointed."
"Estive com minha família no ambiente, cheguei às 13h, varias pessoas chegaram depois de mim e foram servidas com o mesmo prato, 1h e 40 minutos depois sem almoçar eu me levantei e fui embora. Não recomendo o lugar e o atendimento.  O dono é arrogante e em nenhum momento tentou resolver a situação. Comam em lugar que te atendam bem e com praticidade, algo que esse lugar não tem.","I was with my family in the environment, I arrived at 13h, several people arrived after me and were served with the same dish, 1h and 40 minutes later without lunch I got up and left. I do not recommend the place and the service. The owner is arrogant and at no time tried to solve the situation. Eat in a place that serve you well and with practicality, something this place does not have."
"Compramos coca eles cobraramR$2,00 reais  de cada copo do gelo e limão foram 3 copos R$6,00  nunca vi isso na minha vida",We bought coca they charged $ 2.00 reais of each glass of ice and lemon were 3 glasses $ 6.00 I never saw it in my life
"Apaixonada por esse lugar. Ambiente familiar, aconchegante, porções muito bem servidas (sem miséria).
Super recomendo.","In love with this place. Family environment, cozy, very well served portions (without misery).
Super recommend."
"Muito bom. Atendimento excelente pessoal sorridente, educados, comida muito boa,bolinho de carne seca maravilhoso, preço justo!","Very good. Excellent service smiling, educated, very good food, wonderful dried meat cupcake, fair price!"
Ambiente agradável. Porém vi desonestidade na parte do garçom. Trouxe a conta sem descriminar os 10%. Já imbutido no valor total. Falta de respeito com o consumidor.,Pleasant environment. But I saw dishonesty in the waiter part. Brought the account without discriminating 10%. Already imbuted in the total amount. Lack of respect for the consumer.
"Comida maravilhosa, atendimento nota 10! Ambiente confortável e familiar.","Wonderful food, service note 10! Comfortable and familiar environment."
"Era fã, mas não sei o que aconteceu, a comida continua ótima, mas os preços saltaram e parece que a clientela fugiu !","I was a fan, but I don't know what happened, the food is still great, but the prices jumped and it looks like the clientele has run away!"
"Lugar simples e de ambiente bem familiar, atendimento muito bom e comida reconfortante!","Simple place and very familiar environment, very good service and comforting food!"
"Ótimo atendimento, cerveja trincando e porções de peixes saborosas.","Great service, cracking beer and portions of tasty fish."
"Pedimos uma moqueca, mas que decepção. Cerveja não estava gelada.","We ordered a moqueca, but what disappointment. Beer was not cold."
Muito bom porém tem que melhorar o atendimento e a organização com as crianças na brinquedoteca e pago e não tem nem uma monitoria,Very good but you have to improve care and organization with children in the playroom and paid and do not even have a monitoring
"Macambiras bar é o lugar certo pra comer uma tilápia empanada , arroz e uma saladinha. Lugar simples e bom  atendimento.","Macambiras Bar is the right place to eat a breaded tilapia, rice and a salad. Simple place and good service."
"Comida boa, atendimento bom, bem ventilado, espaço para criança","Good food, good service, well ventilated, space for child"
"Demora demais pra chegar a comida, mas veio muito bom.","It takes too long to reach the food, but it came very good."
Top a comida eo atendimento 👍🏽,Top the food and service 👍🏽
Comida boa. Ambiente familiar.,Nice food. Family environment.
Bom cardápio E preço acessível.,Good menu and affordable price.
Melhor peixe de Goiânia em um ambiente super familiar,Best Fish from Goiânia in a super familiar environment
Excelente ambiente famíliar e com atendimento de qualidade 👍,Excellent family environment and with quality service 👍
Excelente! O bolinho de mandioca com carne seca é divino!,Great! The cassava cake with dried meat is divine!
"Muito bem temperado, atendimento de qualidade,  preço acessível. Irei voltar.","Very well seasoned, quality service, affordable price. I will come back."
Ótimo local o melhor Petra bar de Goiânia,Great place the best Petra Bar in Goiânia
"Ótimo bar, comida excelente .... mlMelhor Peixe","Great bar, excellent food .... mlMelho fish"
Foi ótimo um lugar agradável,It was great a pleasant place
Ótimos pratos e petiscos,Great dishes and snacks
Bem atendido mesmo povo de primeira,Well attended even first people
"Bar raiz de verdade. Cerveja trincando, costela e torresmo.","Real root bar. Crank beer, rib and crackling."
"Ambiente deixa a desejar na minha concepção, comida está show! Registro o atendimento louvável da Moça morena atendente no departamento de bebida ( sempre pergunto o nome justamente p por nas avaliações, dessa vez passou batido rs)","Environment leaves something to be desired in my conception, food is show! Registration The commendable service of the brunette girl Attendant in the Drink Department (I always ask the name precisely P for in the reviews, this time passed lol)"
"Muito bom a comida. O atendimento foi bom. Porém estacionar é difícil. Não sei se tinha estacionamento, se tinha não encontrei. Tive que estacionar na rua.","Very good food. The service was good. But parking is difficult. I don't know if I had parking, if I didn't find it. I had to park on the street."
"Restaurante bom para almoçar no dia a dia, apesar do preço um pouco puxado, acho que a variedade do buffet não condiz com o valor cobrado.","Good restaurant for lunch on a daily basis, despite the slightly pulled price, I think the variety of the buffet does not match the amount charged."
"A comida é  gostosa e variada mas, o  ambiente é um pouco escuro. E o atendimento do pessoal da balança  e do caixa chega a ser GROSSEIRO. Se não tiver outra opção, pelo menos a comida não  compromete.","The food is delicious and varied but the environment is a little dark. And the service of the scale and cashier staff is rude. If you have no other option, at least the food does not compromise."
"É simplesmente gostoso e agradável estar nesse espaço.
Obrigada","It is simply tasty and pleasant to be in this space.
Thanks"
"Excelente atendimento, mas o preço é bem salgado.","Excellent service, but the price is very salty."
"Excelente opção de refeição caseira!
Recomendo 😋","Excellent homemade meal option!
I recommend 😋"
Gostei muito lugar agradável bom atendimento,I really liked a nice place good service
Comida voa estava aberto em um feriado,Food Food was open on a holiday
Ambiente agradabilíssimo!,Very pleasant environment!
Excelente comida.,Excellent food.
Muito bom!!!,Very good!!!
Td de bom 👍,Good td 👍
Atendimento e estacionamento,Service and parking
Boa,Good
Magnífico,Magnificent
"Música muito alta, preço do Rosh do narguilé muito caro e com total despreparo,não tem abafador para o narguilé. Narguilé fica balanço na mesa por causa da mesa ser de plástico. Péssimo atendimento","Very tall music, Rose price of hookah very expensive and with total unpreparedness, has no stuffy for the hookah. Narguilé is swing on the table because the table is plastic. Terrible attendance"
"O melhor bar de Goiânia na sua categoria, música ao vivo, sertanejo e djs, bons drinks e ótima comida.","The best bar in Goiânia in its category, live music, backcountry and DJs, good drinks and great food."
"Lugar bom, mas não entendo como um lugar desse não faz comanda separada, se tiver 20 pessoas na mesa, todo mundo tem que dividir. Coisa simples de resolver.","Good place, but I don't understand how such a place does not command separately if you have 20 people on the table, everyone has to share. Simple thing to solve."
"Primeira vez que fui, mais amei o lugar, ótimo para ir com namorado amigos etc, recomendo.","First time I went, I loved the place, great to go with boyfriend friends etc, I recommend."
Excelente Bar👏👏👏músicas boas e ótimo atendimento.,Excellent bar👏👏👏👏 balls good and great service.
"Comprei um combo de Gin falso pessoal, tomei todo com a mulher e nada de álcool no Gin. Cuidado","I bought a fake gin combo, I took all the way with the woman and no alcohol in the gin. Careful"
"Ótima comida, experimentem o prato executivo, servido no almoço","Great food, try the executive plate, served at lunch"
"Lugar maravilhoso, show ao vivo, narguilé e a cerveja gelada","Wonderful place, live show, hookah and cold beer"
Muito agradável e bom!,Very nice and good!
Ótimo lugar,Optimal
Otima,Excellent
Ótimo,Excellent
Ótimo local para uma sinuca e uma cerveja com os amigos!,Great place for a pool and beer with friends!
Lugar ótimo pra jogar sinuca e fumar um nargs,Great place to play pool and smoke a nargs
Maravilhosooo,Wonderful
Bandas autorais têm oportunidade lá... Parabéns à casa! Os garçons são muito gentis.,Copyright bands have opportunity there ... congratulations to the house! The waiters are very kind.
"Ambiente agradável, garçons educados, a energia faltou no palco durante a apresentação de uma banda local naquela ocasião, porém foi resolvido logo. Não sei se retornaria, no entanto é bem localizado.","Nice atmosphere, educated waiters, the energy was missing on stage during the presentation of a local band at that time, but was resolved soon. I don't know if I would return, however it is well located."
Bom lugar músicas ótimas,Good place great songs
"Foi a minha primeira vez lá, show excelente com a cantora Maíra,  só que a garçonete me informou que a feijoada era servida até 16 h, e quando fui servir pouco depois das 15, já tinham retirado o buffet. Fiquei com a impressão que foi de propósito.  Conclusão pagamos pela feijoada e não pudemos deliciar.","It was my first time there, excellent show with singer Maíra, but the waitress informed me that the feijoada was served until 16 hours, and when I went to serve shortly after 15, they had already removed the buffet. I got the impression that was on purpose. Conclusion We paid for the feijoada and could not delight."
"Que Show maravilhoso! Banda Clube Retrô.
Chopp dobradinha","What a wonderful show! Banda Clube Retro.
Beaten beer"
"O som é fraco, falta fazer uma manutenção. Os preços dos drinks depois das 22h00 é um absurdo. No entanto, as pessoas que frequentam o lugar são simpáticas. o atendimento é preocupante, um garçom colocou na comanda mais drinks do que eu bebi e tive que reclamar com outro garçom que estava me atendendo, no final deu tudo certo. Não sei se voltaria...","The sound is weak, we need to do a maintenance. Drink prices after 10 pm are absurd. However, people who frequent the place are friendly. The service is worrying, a waiter put in the command more drinks than I drank and had to complain to another waiter who was answering me, in the end everything worked out. I don't know if I would come back ..."
"Frequento esse bar há anos, infelizmente, atualmente, esta com a pior equipe... alguns bons funcionários, mas alguns completamente mal treinados e sem nenhum tato com o cliente , cliente este que CONSOME! Fui PROIBIDA de SENTAR na MESA, me limitaram a um bistrô no canto do salão! Detalhe, Fui a 1⁰ a chegar! Ehhh Goiàs!!!!","I have been going to this bar for years, unfortunately, today, has the worst team ... some good employees, but some completely poorly trained and without any tact with the customer, the customer who consumes! I was forbidden to sit at the table, limited me to a bistro in the corner of the salon! Detail, I went to 1⁰ coming! Ehhh Goiàs !!!!"
"Muito bom, fui num show de rock lá, porém a batata levou meia hora pra ficar pronta.","Very good, I went to a rock show there, but the potato took half an hour to get ready."
"Lugar muito da hora, ambiente agradável, todos os atendentes são legais e educados, recomendo dmais pra quem gosta de curtir um rock nacional e clássico!!","Very time, pleasant atmosphere, all attendants are cool and polite, I recommend it for those who like to enjoy a national and classic rock !!"
"Ambiente muito bom apesar do espaço pequeno. Serviço excelente. Muito bom gosto musical com excelente banda (código 62 se não me engano). Pontos negativos: Não gosto de pagar para entrar e jamais deixaria meu documento preso com alguém que não seja uma autoridade. Acredito que seja até um abuso exigir apresentação de documento e é crime (Lei 5.553 de 06/12/1968, ART 1°) reter o documento do cliente.","Very good environment despite the small space. Excellent service. Very tasteful musical taste with excellent band (code 62 if I'm not mistaken). Negative Points: I don't like to pay to enter and I would never leave my document stuck with someone other than an authority. I believe it is even an abuse to require document presentation and is a crime (Law 5.553 of 12/06/1968, art 1) retain the client document."
"Perfeito 👏👏👏. Ambiente incrível, serviço de excelência, tudo de parabéns. Super indico","Perfect 👏👏👏. Amazing environment, excellent service, all of course. Super Indico"
É um lugar para quem gosta de shows. Tem um lineup pop sertanejo. Ambiente ok e um bom atendimento.,It's a place for those who like shows. It has a backcountry pop lineup. Environment ok and good service.
"Almoço muito bom e barato para a região!! De noite, shows variados maravilhosos do rock ao pagode, muito bom para ir com grupos de amigos, comemorar aniversário e ouvir música ao vivo","Very good and cheap lunch for the region !! At night, wonderful varied shows from rock to pagoda, very good to go with groups of friends, celebrate birthday and listen to live music"
"Enchem muito o ambiente, garçons ficam trombando nas cadeiras, e quando vc pede um drik, demora quase uma hora pra chegar","They fill the atmosphere a lot, waiters are bumping in the chairs, and when you ask for a drik, it takes almost an hour to arrive"
"A comida uma delicia
Espaço achei muito apertado, área externa muito quente
Faltou um pouco de atenção dos garçon","The food is delicious
Space I found very tight, very hot outside area
A little attention of the waiter was missing"
Música boa e ambiente agradável. Adoramos!,Good music and pleasant environment. We love it!
"O atendimento é rápido e educado, embora o tempo de espera pelos alimentos seja um pouco alto. Fora isso a estrutura é muito legal com um palco excelente para apresentações, sendo um local bem legal de ir com amgs","The service is fast and polite, although the waiting time for food is a little high. Other than that the structure is very cool with an excellent stage for presentations, being a very nice place to go with AMGS"
"Só não concordei que para entra tinha pagar valor cheio, ( mesmo que não comesse feijoada), isso foi no passeio da harley.........","I just didn't agree that to enter I had paid full amount, (even if I didn't eat feijoada), that was on Harley's tour ........."
Lugar muito legal. Atendimento bom e tem lugar pra sentar. Kkkk,Very cool place. Good service and has place to sit. Hahahaha
